"dataset","caseid","length","label","leverage1","leverage2"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3364103","0.170626370019365","0","2.72295930991725e-06","1.35093609285458e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3395763","0.157104965541413","0","3.26103839468787e-06","1.62128759967518e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3398124","0.122705453729733","0","3.72759888634611e-06","1.86314954307136e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3406163","0.141192642158365","0","4.95457161412459e-06","2.46934169915225e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3407629","0.146696520029458","0","2.72442611997657e-06","1.3566873085561e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3414969","0.151685136006243","0","5.05172401232371e-06","2.51367194835903e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3415943","0.132656815407691","0","4.21865581602502e-06","2.1053456246407e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3424995","0.136733370092134","0","3.95816248867745e-06","1.97409799606653e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3427711","0.152549370131667","0","3.79071282862308e-06","1.88595661010979e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3431247","0.114613486665895","0","2.074607668906e-06","1.03824185517141e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3435055","0.256127570155068","0","2.47580512241902e-06","1.21211134343498e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3436563","-0.621134680337821","0","2.71654410381181e-06","1.52119667353149e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3436986","0.140906161409307","0","2.74761545082837e-06","1.36946300684852e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3439303","0.119526309721119","0","2.47579633950219e-06","1.2380757184626e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3441204","0.136733370092134","0","3.95816248867745e-06","1.97409799606653e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3442235","0.214171610453419","0","3.09621793215212e-06","1.52577315132941e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3445023","0.171720100217923","0","3.11539849250712e-06","1.54537396213443e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3448516","0.146973473330227","0","5.11518521438103e-06","2.54710854358177e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3450321","0.547510564974001","0","1.82303606117571e-06","8.52773701734094e-08"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3450810","0.149000385882951","0","3.60839501814232e-06","1.79623747938748e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3453486","0.144250724024114","0","2.41639293300862e-06","1.20375157744149e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3453943","0.221090333461634","0","3.55938807785096e-06","1.75213274517168e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3454963","0.161679951947646","0","3.75115022545059e-06","1.86363383933111e-07"
"pca_Preprocessed_moved0.003_BPIC15_5_f2_clean.csv","3455394","0.134460169804951","0","3.92506978226168e-06","1.95828270414715e-07"
