"dataset","caseid","length","label","leverage1","leverage2"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3461877","-0.169418943675842","0","9.57629200992705e-06","5.23801704967635e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3466211","-0.113439814223692","0","9.99806872786457e-06","5.42145573885095e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3467726","-0.027625621952872","0","6.74593356692517e-06","3.60950636716466e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3467931","-0.181575375470925","0","9.79853043242815e-06","5.36967591169383e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3473951","-0.202714171309346","0","1.0504299912212e-05","5.77530719432942e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3477221","-0.105509709660312","0","8.6707918091124e-06","4.69595469993292e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3477241","-0.172188023882868","0","9.61420172431272e-06","5.26100880945461e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3477254","-0.094087725665393","0","5.67323137432781e-06","3.0670812040351e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3481077","3.01913032044683","0","8.74843924791277e-05","2.83624904014073e-06"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3493548","-0.033435989321852","0","6.15016953628179e-06","3.29371279639688e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3503672","1.12751774791783","0","9.23088470244123e-06","4.11024984098747e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3519994","-0.119573277249445","0","9.06056275596023e-06","4.91777200572048e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3520253","4.52846934982816","0","0.000242955050939217","6.02633148055208e-06"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3527251","-0.170960859829351","0","9.41445926981011e-06","5.15072819473095e-07"
"pca_Preprocessed_insert0.006_BPIC15_2_f2_clean.csv","3532833","1.04379686899812","0","8.28080080274603e-06","3.73758656230474e-07"
